level,question,answer
easy,У легіоні було LXXVI воїнів. Додали XVII. Скільки стало?,XCIII
easy,У легіоні було LXXVII воїнів. Додали XVIII. Скільки стало?,XCV
easy,У легіоні було LXXVIII воїнів. Додали XIX. Скільки стало?,XCVII
easy,У легіоні було LXXIX воїнів. Додали XX. Скільки стало?,XCIX
easy,У легіоні було LXXX воїнів. Додали XXI. Скільки стало?,CI
easy,У легіоні було LXXXI воїнів. Додали XXII. Скільки стало?,CIII
easy,У легіоні було LXXXII воїнів. Додали XXIII. Скільки стало?,CV
easy,У легіоні було LXXXIII воїнів. Додали XXIV. Скільки стало?,CVII
easy,У легіоні було LXXXIV воїнів. Додали XXV. Скільки стало?,CIX
easy,У легіоні було LXXXV воїнів. Додали XI. Скільки стало?,XCVI
easy,У легіоні було LXXXVI воїнів. Додали XII. Скільки стало?,XCVIII
easy,У легіоні було LXXXVII воїнів. Додали XIII. Скільки стало?,C
easy,У легіоні було LXXXVIII воїнів. Додали XIV. Скільки стало?,CII
easy,У легіоні було LXXXIX воїнів. Додали XV. Скільки стало?,CIV
easy,У легіоні було XC воїнів. Додали XVI. Скільки стало?,CVI
easy,У легіоні було XCI воїнів. Додали XVII. Скільки стало?,CVIII
easy,У легіоні було XCII воїнів. Додали XVIII. Скільки стало?,CX
easy,У легіоні було XCIII воїнів. Додали XIX. Скільки стало?,CXII
easy,У легіоні було XCIV воїнів. Додали XX. Скільки стало?,CXIV
easy,У легіоні було XCV воїнів. Додали XXI. Скільки стало?,CXVI
easy,У легіоні було XCVI воїнів. Додали XXII. Скільки стало?,CXVIII
easy,У легіоні було XCVII воїнів. Додали XXIII. Скільки стало?,CXX
easy,У легіоні було XCVIII воїнів. Додали XXIV. Скільки стало?,CXXII
easy,У легіоні було XCIX воїнів. Додали XXV. Скільки стало?,CXXIV
easy,У легіоні було C воїнів. Додали XI. Скільки стало?,CXI
easy,У легіоні було CI воїнів. Додали XII. Скільки стало?,CXIII
easy,У легіоні було CII воїнів. Додали XIII. Скільки стало?,CXV
easy,У легіоні було CIII воїнів. Додали XIV. Скільки стало?,CXVII
easy,У легіоні було CIV воїнів. Додали XV. Скільки стало?,CXIX
easy,У легіоні було CV воїнів. Додали XVI. Скільки стало?,CXXI
easy,У легіоні було CVI воїнів. Додали XVII. Скільки стало?,CXXIII
easy,У легіоні було CVII воїнів. Додали XVIII. Скільки стало?,CXXV
easy,У легіоні було CVIII воїнів. Додали XIX. Скільки стало?,CXXVII
easy,У легіоні було CIX воїнів. Додали XX. Скільки стало?,CXXIX
easy,У легіоні було CX воїнів. Додали XXI. Скільки стало?,CXXXI
middle,У легіоні було XXI воїнів. Забрали XXII. Скільки стало?,N
middle,У легіоні було XXII воїнів. Забрали XXIII. Скільки стало?,N
middle,У легіоні було XXIII воїнів. Забрали XXIV. Скільки стало?,N
middle,У легіоні було XXIV воїнів. Забрали XXV. Скільки стало?,N
middle,У легіоні було XXV воїнів. Забрали XXVI. Скільки стало?,N
middle,У легіоні було XXVI воїнів. Забрали XXVII. Скільки стало?,N
middle,У легіоні було XXVII воїнів. Забрали XXVIII. Скільки стало?,N
middle,У легіоні було XXVIII воїнів. Забрали XXIX. Скільки стало?,N
middle,У легіоні було XXIX воїнів. Забрали XXX. Скільки стало?,N
middle,У легіоні було XXX воїнів. Забрали XXXI. Скільки стало?,N
middle,У легіоні було XXXI воїнів. Забрали XXXII. Скільки стало?,N
middle,У легіоні було XXXII воїнів. Забрали XXXIII. Скільки стало?,N
middle,У легіоні було XXXIII воїнів. Забрали XXXIV. Скільки стало?,N
middle,У легіоні було XXXIV воїнів. Забрали XXXV. Скільки стало?,N
middle,У легіоні було XXXV воїнів. Забрали XXI. Скільки стало?,XIV
middle,У легіоні було XXXVI воїнів. Забрали XXII. Скільки стало?,XIV
middle,У легіоні було XXXVII воїнів. Забрали XXIII. Скільки стало?,XIV
middle,У легіоні було XXXVIII воїнів. Забрали XXIV. Скільки стало?,XIV
middle,У легіоні було XXXIX воїнів. Забрали XXV. Скільки стало?,XIV
middle,У легіоні було XL воїнів. Забрали XXVI. Скільки стало?,XIV
middle,У легіоні було XLI воїнів. Забрали XXVII. Скільки стало?,XIV
middle,У легіоні було XLII воїнів. Забрали XXVIII. Скільки стало?,XIV
middle,У легіоні було XLIII воїнів. Забрали XXIX. Скільки стало?,XIV
middle,У легіоні було XLIV воїнів. Забрали XXX. Скільки стало?,XIV
middle,У легіоні було XLV воїнів. Забрали XXXI. Скільки стало?,XIV
middle,У легіоні було XLVI воїнів. Забрали XXXII. Скільки стало?,XIV
middle,У легіоні було XLVII воїнів. Забрали XXXIII. Скільки стало?,XIV
middle,У легіоні було XLVIII воїнів. Забрали XXXIV. Скільки стало?,XIV
middle,У легіоні було XLIX воїнів. Забрали XXXV. Скільки стало?,XIV
middle,У легіоні було L воїнів. Забрали XXI. Скільки стало?,XXIX
middle,У легіоні було LI воїнів. Забрали XXII. Скільки стало?,XXIX
middle,У легіоні було LII воїнів. Забрали XXIII. Скільки стало?,XXIX
middle,У легіоні було LIII воїнів. Забрали XXIV. Скільки стало?,XXIX
middle,У легіоні було LIV воїнів. Забрали XXV. Скільки стало?,XXIX
middle,У легіоні було LV воїнів. Забрали XXVI. Скільки стало?,XXIX
middle,У легіоні було LVI воїнів. Забрали XXVII. Скільки стало?,XXIX
middle,У легіоні було LVII воїнів. Забрали XXVIII. Скільки стало?,XXIX
middle,У легіоні було LVIII воїнів. Забрали XXIX. Скільки стало?,XXIX
middle,У легіоні було LIX воїнів. Забрали XXX. Скільки стало?,XXIX
middle,У легіоні було LX воїнів. Забрали XXXI. Скільки стало?,XXIX
middle,У легіоні було LXI воїнів. Забрали XXXII. Скільки стало?,XXIX
middle,У легіоні було LXII воїнів. Забрали XXXIII. Скільки стало?,XXIX
middle,У легіоні було LXIII воїнів. Забрали XXXIV. Скільки стало?,XXIX
middle,У легіоні було LXIV воїнів. Забрали XXXV. Скільки стало?,XXIX
middle,У легіоні було LXV воїнів. Забрали XXI. Скільки стало?,XLIV
middle,У легіоні було LXVI воїнів. Забрали XXII. Скільки стало?,XLIV
middle,У легіоні було LXVII воїнів. Забрали XXIII. Скільки стало?,XLIV
middle,У легіоні було LXVIII воїнів. Забрали XXIV. Скільки стало?,XLIV
middle,У легіоні було LXIX воїнів. Забрали XXV. Скільки стало?,XLIV
middle,У легіоні було LXX воїнів. Забрали XXVI. Скільки стало?,XLIV
middle,У легіоні було LXXI воїнів. Забрали XXVII. Скільки стало?,XLIV
middle,У легіоні було LXXII воїнів. Забрали XXVIII. Скільки стало?,XLIV
middle,У легіоні було LXXIII воїнів. Забрали XXIX. Скільки стало?,XLIV
middle,У легіоні було LXXIV воїнів. Забрали XXX. Скільки стало?,XLIV
middle,У легіоні було LXXV воїнів. Забрали XXXI. Скільки стало?,XLIV
middle,У легіоні було LXXVI воїнів. Забрали XXXII. Скільки стало?,XLIV
middle,У легіоні було LXXVII воїнів. Забрали XXXIII. Скільки стало?,XLIV
middle,У легіоні було LXXVIII воїнів. Забрали XXXIV. Скільки стало?,XLIV
middle,У легіоні було LXXIX воїнів. Забрали XXXV. Скільки стало?,XLIV
middle,У легіоні було LXXX воїнів. Забрали XXI. Скільки стало?,LIX
middle,У легіоні було LXXXI воїнів. Забрали XXII. Скільки стало?,LIX
middle,У легіоні було LXXXII воїнів. Забрали XXIII. Скільки стало?,LIX
middle,У легіоні було LXXXIII воїнів. Забрали XXIV. Скільки стало?,LIX
middle,У легіоні було LXXXIV воїнів. Забрали XXV. Скільки стало?,LIX
middle,У легіоні було LXXXV воїнів. Забрали XXVI. Скільки стало?,LIX
middle,У легіоні було LXXXVI воїнів. Забрали XXVII. Скільки стало?,LIX
middle,У легіоні було LXXXVII воїнів. Забрали XXVIII. Скільки стало?,LIX
middle,У легіоні було LXXXVIII воїнів. Забрали XXIX. Скільки стало?,LIX
middle,У легіоні було LXXXIX воїнів. Забрали XXX. Скільки стало?,LIX
middle,У легіоні було XC воїнів. Забрали XXXI. Скільки стало?,LIX
middle,У легіоні було XCI воїнів. Забрали XXXII. Скільки стало?,LIX
middle,У легіоні було XCII воїнів. Забрали XXXIII. Скільки стало?,LIX
middle,У легіоні було XCIII воїнів. Забрали XXXIV. Скільки стало?,LIX
middle,У легіоні було XCIV воїнів. Забрали XXXV. Скільки стало?,LIX
middle,У легіоні було XCV воїнів. Забрали XXI. Скільки стало?,LXXIV
middle,У легіоні було XCVI воїнів. Забрали XXII. Скільки стало?,LXXIV
middle,У легіоні було XCVII воїнів. Забрали XXIII. Скільки стало?,LXXIV
middle,У легіоні було XCVIII воїнів. Забрали XXIV. Скільки стало?,LXXIV
middle,У легіоні було XCIX воїнів. Забрали XXV. Скільки стало?,LXXIV
middle,У легіоні було C воїнів. Забрали XXVI. Скільки стало?,LXXIV
middle,У легіоні було CI воїнів. Забрали XXVII. Скільки стало?,LXXIV
middle,У легіоні було CII воїнів. Забрали XXVIII. Скільки стало?,LXXIV
middle,У легіоні було CIII воїнів. Забрали XXIX. Скільки стало?,LXXIV
middle,У легіоні було CIV воїнів. Забрали XXX. Скільки стало?,LXXIV
middle,У легіоні було CV воїнів. Забрали XXXI. Скільки стало?,LXXIV
middle,У легіоні було CVI воїнів. Забрали XXXII. Скільки стало?,LXXIV
middle,У легіоні було CVII воїнів. Забрали XXXIII. Скільки стало?,LXXIV
middle,У легіоні було CVIII воїнів. Забрали XXXIV. Скільки стало?,LXXIV
middle,У легіоні було CIX воїнів. Забрали XXXV. Скільки стало?,LXXIV
middle,У легіоні було CX воїнів. Забрали XXI. Скільки стало?,LXXXIX
middle,У легіоні було CXI воїнів. Забрали XXII. Скільки стало?,LXXXIX
middle,У легіоні було CXII воїнів. Забрали XXIII. Скільки стало?,LXXXIX
middle,У легіоні було CXIII воїнів. Забрали XXIV. Скільки стало?,LXXXIX
middle,У легіоні було CXIV воїнів. Забрали XXV. Скільки стало?,LXXXIX
middle,У легіоні було CXV воїнів. Забрали XXVI. Скільки стало?,LXXXIX
middle,У легіоні було CXVI воїнів. Забрали XXVII. Скільки стало?,LXXXIX
middle,У легіоні було CXVII воїнів. Забрали XXVIII. Скільки стало?,LXXXIX
middle,У легіоні було CXVIII воїнів. Забрали XXIX. Скільки стало?,LXXXIX
middle,У легіоні було CXIX воїнів. Забрали XXX. Скільки стало?,LXXXIX
middle,У легіоні було CXX воїнів. Забрали XXXI. Скільки стало?,LXXXIX
hard,У легіоні було XXXI воїнів. Привезли ще XXXII. Скільки стало?,LXIII
hard,У легіоні було XXXII воїнів. Привезли ще XXXIII. Скільки стало?,LXV
hard,У легіоні було XXXIII воїнів. Привезли ще XXXIV. Скільки стало?,LXVII
hard,У легіоні було XXXIV воїнів. Привезли ще XXXV. Скільки стало?,LXIX
hard,У легіоні було XXXV воїнів. Привезли ще XXXVI. Скільки стало?,LXXI
hard,У легіоні було XXXVI воїнів. Привезли ще XXXVII. Скільки стало?,LXXIII
hard,У легіоні було XXXVII воїнів. Привезли ще XXXVIII. Скільки стало?,LXXV
hard,У легіоні було XXXVIII воїнів. Привезли ще XXXIX. Скільки стало?,LXXVII
hard,У легіоні було XXXIX воїнів. Привезли ще XL. Скільки стало?,LXXIX
hard,У легіоні було XL воїнів. Привезли ще XLI. Скільки стало?,LXXXI
hard,У легіоні було XLI воїнів. Привезли ще XLII. Скільки стало?,LXXXIII
hard,У легіоні було XLII воїнів. Привезли ще XLIII. Скільки стало?,LXXXV
hard,У легіоні було XLIII воїнів. Привезли ще XLIV. Скільки стало?,LXXXVII
hard,У легіоні було XLIV воїнів. Привезли ще XLV. Скільки стало?,LXXXIX
hard,У легіоні було XLV воїнів. Привезли ще XXXI. Скільки стало?,LXXVI
hard,У легіоні було XLVI воїнів. Привезли ще XXXII. Скільки стало?,LXXVIII
hard,У легіоні було XLVII воїнів. Привезли ще XXXIII. Скільки стало?,LXXX
hard,У легіоні було XLVIII воїнів. Привезли ще XXXIV. Скільки стало?,LXXXII
hard,У легіоні було XLIX воїнів. Привезли ще XXXV. Скільки стало?,LXXXIV
hard,У легіоні було L воїнів. Привезли ще XXXVI. Скільки стало?,LXXXVI
hard,У легіоні було LI воїнів. Привезли ще XXXVII. Скільки стало?,LXXXVIII
hard,У легіоні було LII воїнів. Привезли ще XXXVIII. Скільки стало?,XC
hard,У легіоні було LIII воїнів. Привезли ще XXXIX. Скільки стало?,XCII
hard,У легіоні було LIV воїнів. Привезли ще XL. Скільки стало?,XCIV
hard,У легіоні було LV воїнів. Привезли ще XLI. Скільки стало?,XCVI
hard,У легіоні було LVI воїнів. Привезли ще XLII. Скільки стало?,XCVIII
hard,У легіоні було LVII воїнів. Привезли ще XLIII. Скільки стало?,C
hard,У легіоні було LVIII воїнів. Привезли ще XLIV. Скільки стало?,CII
hard,У легіоні було LIX воїнів. Привезли ще XLV. Скільки стало?,CIV
hard,У легіоні було LX воїнів. Привезли ще XXXI. Скільки стало?,XCI
hard,У легіоні було LXI воїнів. Привезли ще XXXII. Скільки стало?,XCIII
hard,У легіоні було LXII воїнів. Привезли ще XXXIII. Скільки стало?,XCV
hard,У легіоні було LXIII воїнів. Привезли ще XXXIV. Скільки стало?,XCVII
hard,У легіоні було LXIV воїнів. Привезли ще XXXV. Скільки стало?,XCIX
hard,У легіоні було LXV воїнів. Привезли ще XXXVI. Скільки стало?,CI
hard,У легіоні було LXVI воїнів. Привезли ще XXXVII. Скільки стало?,CIII
hard,У легіоні було LXVII воїнів. Привезли ще XXXVIII. Скільки стало?,CV
hard,У легіоні було LXVIII воїнів. Привезли ще XXXIX. Скільки стало?,CVII
hard,У легіоні було LXIX воїнів. Привезли ще XL. Скільки стало?,CIX
hard,У легіоні було LXX воїнів. Привезли ще XLI. Скільки стало?,CXI
hard,У легіоні було LXXI воїнів. Привезли ще XLII. Скільки стало?,CXIII
hard,У легіоні було LXXII воїнів. Привезли ще XLIII. Скільки стало?,CXV
hard,У легіоні було LXXIII воїнів. Привезли ще XLIV. Скільки стало?,CXVII
hard,У легіоні було LXXIV воїнів. Привезли ще XLV. Скільки стало?,CXIX
hard,У легіоні було LXXV воїнів. Привезли ще XXXI. Скільки стало?,CVI
hard,У легіоні було LXXVI воїнів. Привезли ще XXXII. Скільки стало?,CVIII
hard,У легіоні було LXXVII воїнів. Привезли ще XXXIII. Скільки стало?,CX
hard,У легіоні було LXXVIII воїнів. Привезли ще XXXIV. Скільки стало?,CXII
hard,У легіоні було LXXIX воїнів. Привезли ще XXXV. Скільки стало?,CXIV
hard,У легіоні було LXXX воїнів. Привезли ще XXXVI. Скільки стало?,CXVI
hard,У легіоні було LXXXI воїнів. Привезли ще XXXVII. Скільки стало?,CXVIII
hard,У легіоні було LXXXII воїнів. Привезли ще XXXVIII. Скільки стало?,CXX
hard,У легіоні було LXXXIII воїнів. Привезли ще XXXIX. Скільки стало?,CXXII
hard,У легіоні було LXXXIV воїнів. Привезли ще XL. Скільки стало?,CXXIV
hard,У легіоні було LXXXV воїнів. Привезли ще XLI. Скільки стало?,CXXVI
hard,У легіоні було LXXXVI воїнів. Привезли ще XLII. Скільки стало?,CXXVIII
hard,У легіоні було LXXXVII воїнів. Привезли ще XLIII. Скільки стало?,CXXX
hard,У легіоні було LXXXVIII воїнів. Привезли ще XLIV. Скільки стало?,CXXXII
hard,У легіоні було LXXXIX воїнів. Привезли ще XLV. Скільки стало?,CXXXIV
hard,У легіоні було XC воїнів. Привезли ще XXXI. Скільки стало?,CXXI
hard,У легіоні було XCI воїнів. Привезли ще XXXII. Скільки стало?,CXXIII
hard,У легіоні було XCII воїнів. Привезли ще XXXIII. Скільки стало?,CXXV
hard,У легіоні було XCIII воїнів. Привезли ще XXXIV. Скільки стало?,CXXVII
hard,У легіоні було XCIV воїнів. Привезли ще XXXV. Скільки стало?,CXXIX
hard,У легіоні було XCV воїнів. Привезли ще XXXVI. Скільки стало?,CXXXI
hard,У легіоні було XCVI воїнів. Привезли ще XXXVII. Скільки стало?,CXXXIII
hard,У легіоні було XCVII воїнів. Привезли ще XXXVIII. Скільки стало?,CXXXV
hard,У легіоні було XCVIII воїнів. Привезли ще XXXIX. Скільки стало?,CXXXVII
hard,У легіоні було XCIX воїнів. Привезли ще XL. Скільки стало?,CXXXIX
hard,У легіоні було C воїнів. Привезли ще XLI. Скільки стало?,CXLI
hard,У легіоні було CI воїнів. Привезли ще XLII. Скільки стало?,CXLIII
hard,У легіоні було CII воїнів. Привезли ще XLIII. Скільки стало?,CXLV
hard,У легіоні було CIII воїнів. Привезли ще XLIV. Скільки стало?,CXLVII
hard,У легіоні було CIV воїнів. Привезли ще XLV. Скільки стало?,CXLIX
hard,У легіоні було CV воїнів. Привезли ще XXXI. Скільки стало?,CXXXVI
hard,У легіоні було CVI воїнів. Привезли ще XXXII. Скільки стало?,CXXXVIII
hard,У легіоні було CVII воїнів. Привезли ще XXXIII. Скільки стало?,CXL
hard,У легіоні було CVIII воїнів. Привезли ще XXXIV. Скільки стало?,CXLII
hard,У легіоні було CIX воїнів. Привезли ще XXXV. Скільки стало?,CXLIV
hard,У легіоні було CX воїнів. Привезли ще XXXVI. Скільки стало?,CXLVI
hard,У легіоні було CXI воїнів. Привезли ще XXXVII. Скільки стало?,CXLVIII
hard,У легіоні було CXII воїнів. Привезли ще XXXVIII. Скільки стало?,CL
hard,У легіоні було CXIII воїнів. Привезли ще XXXIX. Скільки стало?,CLII
hard,У легіоні було CXIV воїнів. Привезли ще XL. Скільки стало?,CLIV
hard,У легіоні було CXV воїнів. Привезли ще XLI. Скільки стало?,CLVI
hard,У легіоні було CXVI воїнів. Привезли ще XLII. Скільки стало?,CLVIII
hard,У легіоні було CXVII воїнів. Привезли ще XLIII. Скільки стало?,CLX
hard,У легіоні було CXVIII воїнів. Привезли ще XLIV. Скільки стало?,CLXII
hard,У легіоні було CXIX воїнів. Привезли ще XLV. Скільки стало?,CLXIV
hard,У легіоні було CXX воїнів. Привезли ще XXXI. Скільки стало?,CLI
hard,У легіоні було CXXI воїнів. Привезли ще XXXII. Скільки стало?,CLIII
hard,У легіоні було CXXII воїнів. Привезли ще XXXIII. Скільки стало?,CLV
hard,У легіоні було CXXIII воїнів. Привезли ще XXXIV. Скільки стало?,CLVII
hard,У легіоні було CXXIV воїнів. Привезли ще XXXV. Скільки стало?,CLIX
hard,У легіоні було CXXV воїнів. Привезли ще XXXVI. Скільки стало?,CLXI
hard,У легіоні було CXXVI воїнів. Привезли ще XXXVII. Скільки стало?,CLXIII
hard,У легіоні було CXXVII воїнів. Привезли ще XXXVIII. Скільки стало?,CLXV
hard,У легіоні було CXXVIII воїнів. Привезли ще XXXIX. Скільки стало?,CLXVII
hard,У легіоні було CXXIX воїнів. Привезли ще XL. Скільки стало?,CLXIX
hard,У легіоні було CXXX воїнів. Привезли ще XLI. Скільки стало?,CLXXI
very_hard,Було XLI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CLXIV
very_hard,Було XLII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCX
very_hard,Було XLIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CCLVIII
very_hard,Було XLIV центуріонів. Кожен мав по II солдатів. Скільки всього?,LXXXVIII
very_hard,Було XLV центуріонів. Кожен мав по III солдатів. Скільки всього?,CXXXV
very_hard,Було XLVI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CLXXXIV
very_hard,Було XLVII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCXXXV
very_hard,Було XLVIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CCLXXXVIII
very_hard,Було XLIX центуріонів. Кожен мав по II солдатів. Скільки всього?,XCVIII
very_hard,Було L центуріонів. Кожен мав по III солдатів. Скільки всього?,CL
very_hard,Було LI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCIV
very_hard,Було LII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCLX
very_hard,Було LIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CCCXVIII
very_hard,Було LIV центуріонів. Кожен мав по II солдатів. Скільки всього?,CVIII
very_hard,Було LV центуріонів. Кожен мав по III солдатів. Скільки всього?,CLXV
very_hard,Було LVI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCXXIV
very_hard,Було LVII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCLXXXV
very_hard,Було LVIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CCCXLVIII
very_hard,Було LIX центуріонів. Кожен мав по II солдатів. Скільки всього?,CXVIII
very_hard,Було LX центуріонів. Кожен мав по III солдатів. Скільки всього?,CLXXX
very_hard,Було LXI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCXLIV
very_hard,Було LXII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCCX
very_hard,Було LXIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CCCLXXVIII
very_hard,Було LXIV центуріонів. Кожен мав по II солдатів. Скільки всього?,CXXVIII
very_hard,Було LXV центуріонів. Кожен мав по III солдатів. Скільки всього?,CXCV
very_hard,Було LXVI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCLXIV
very_hard,Було LXVII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCCXXXV
very_hard,Було LXVIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CDVIII
very_hard,Було LXIX центуріонів. Кожен мав по II солдатів. Скільки всього?,CXXXVIII
very_hard,Було LXX центуріонів. Кожен мав по III солдатів. Скільки всього?,CCX
very_hard,Було LXXI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCLXXXIV
very_hard,Було LXXII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCCLX
very_hard,Було LXXIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CDXXXVIII
very_hard,Було LXXIV центуріонів. Кожен мав по II солдатів. Скільки всього?,CXLVIII
very_hard,Було LXXV центуріонів. Кожен мав по III солдатів. Скільки всього?,CCXXV
very_hard,Було LXXVI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCCIV
very_hard,Було LXXVII центуріонів. Кожен мав по V солдатів. Скільки всього?,CCCLXXXV
very_hard,Було LXXVIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CDLXVIII
very_hard,Було LXXIX центуріонів. Кожен мав по II солдатів. Скільки всього?,CLVIII
very_hard,Було LXXX центуріонів. Кожен мав по III солдатів. Скільки всього?,CCXL
very_hard,Було LXXXI центуріонів. Кожен мав по IV солдатів. Скільки всього?,CCCXXIV
very_hard,Було LXXXII центуріонів. Кожен мав по V солдатів. Скільки всього?,CDX
very_hard,Було LXXXIII центуріонів. Кожен мав по VI солдатів. Скільки всього?,CDXCVIII
very_hard,Було LXXXIV центуріонів. Кожен мав по II солдатів. Скільки всього?,CLXVIII
very_hard,Було LXXXV центуріонів. Кожен мав по III солдатів. Скільки всього?,CCLV
